"publication_path","source_workspace_class","experiment_stage","artifact_type","sanitized","contains_vendor_data","contains_absolute_path","publication_status"
"docs/asic/baseline_characterization.md","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","md","YES","NO","NO","APPROVED"
"docs/asic/critical_path_analysis.md","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","md","YES","NO","NO","APPROVED"
"docs/asic/frequency_sweep.md","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","md","YES","NO","NO","APPROVED"
"docs/asic/hold_analysis.md","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","md","YES","NO","NO","APPROVED"
"docs/asic/loaduse_timing_feasibility.md","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","md","YES","NO","NO","APPROVED"
"docs/asic/methodology.md","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","md","YES","NO","NO","APPROVED"
"docs/asic/p1_500mhz_analysis.md","SANITIZED_RFIC_EVIDENCE","LOADUSE_P1","md","YES","NO","NO","APPROVED"
"docs/asic/p2_ver956_failure.md","SANITIZED_RFIC_EVIDENCE","P2_FAILED_ANALYZE","md","YES","NO","NO","APPROVED"
"docs/asic/p2r1_500mhz_closure.md","SANITIZED_RFIC_EVIDENCE","FINAL_P2R1","md","YES","NO","NO","APPROVED"
"eda/analysis/analyze_rootcause_paths.py","SANITIZED_RFIC_EVIDENCE","BASELINE_ANALYSIS","py","YES","NO","NO","APPROVED"
"eda/analysis/generate_frequency_tradeoff.py","SANITIZED_RFIC_EVIDENCE","BASELINE_ANALYSIS","py","YES","NO","NO","APPROVED"
"eda/common/environment.example","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","example","YES","NO","NO","APPROVED"
"eda/constraints/rv64im_core_characterization.sdc","SANITIZED_RFIC_EVIDENCE","CHARACTERIZATION_METHODOLOGY","sdc","YES","NO","NO","APPROVED"
"eda/dc/scripts/dc_sweep_compile.tcl","SANITIZED_RFIC_EVIDENCE","P2R1_500MHZ","tcl","YES","NO","NO","APPROVED"
"eda/dc/scripts/dc_sweep_gate.tcl","SANITIZED_RFIC_EVIDENCE","P2R1_500MHZ","tcl","YES","NO","NO","APPROVED"
"eda/dc/scripts/run_dc_sweep_point.sh","SANITIZED_RFIC_EVIDENCE","P2R1_500MHZ","sh","YES","NO","NO","APPROVED"
"eda/pt/scripts/pt_boundary_max.tcl","SANITIZED_RFIC_EVIDENCE","P2R1_500MHZ","tcl","YES","NO","NO","APPROVED"
"eda/pt/scripts/pt_internal_hold.tcl","SANITIZED_RFIC_EVIDENCE","P2R1_500MHZ","tcl","YES","NO","NO","APPROVED"
"eda/pt/scripts/pt_loaduse_probe.tcl","SANITIZED_RFIC_EVIDENCE","P2R1_500MHZ","tcl","YES","NO","NO","APPROVED"
"eda/pt/scripts/run_pt_boundary.sh","SANITIZED_RFIC_EVIDENCE","P2R1_500MHZ","sh","YES","NO","NO","APPROVED"
"eda/pt/scripts/run_pt_internal_hold.sh","SANITIZED_RFIC_EVIDENCE","P2R1_500MHZ","sh","YES","NO","NO","APPROVED"
"eda/README.md","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","md","YES","NO","NO","APPROVED"
"MANIFEST.csv","PUBLICATION_BUNDLE","PUBLICATION","csv","YES","NO","NO","APPROVED"
"README.md","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_PUBLICATION","md","YES","NO","NO","APPROVED"
"results/public/asic/area_comparison.csv","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_RESULTS","csv","YES","NO","NO","APPROVED"
"results/public/asic/critical_path_migration.csv","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_RESULTS","csv","YES","NO","NO","APPROVED"
"results/public/asic/final_500mhz_summary.csv","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_RESULTS","csv","YES","NO","NO","APPROVED"
"results/public/asic/frequency_tradeoff.csv","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_RESULTS","csv","YES","NO","NO","APPROVED"
"results/public/asic/hold_summary.csv","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_RESULTS","csv","YES","NO","NO","APPROVED"
"results/public/asic/loaduse_timing_probe.csv","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_RESULTS","csv","YES","NO","NO","APPROVED"
"results/public/asic/setup_boundary.csv","SANITIZED_RFIC_EVIDENCE","MULTI_STAGE_RESULTS","csv","YES","NO","NO","APPROVED"
"SHA256SUMS.txt","PUBLICATION_BUNDLE","PUBLICATION","txt","YES","NO","NO","APPROVED"
