period_ns,frequency_mhz,dc_setup_status,wns_ns,tns_ns,violation_count,stdcell_area,cell_count,total_area,worst_path_family
5.0,200.0,PASS,0.000144958,0,0,79038.274,101728,263583.055248,LSU_TO_ID_ALU
4.5,222.222222222,PASS,0.0007267,0,0,78994.86,101662,263539.641248,LSU_TO_ID_ALU
4.0,250.0,PASS,0.0000927448,0,0,79265.83,102600,263810.611248,ID_ALU_OPERAND_TO_DIV
3.5,285.714285714,PASS,0.000152826,0,0,79488.878,103648,264033.659248,ID_ALU_OPERAND_TO_DIV
3.0,333.333333333,PASS,0.0000367165,0,0,79832.074,105277,264376.855248,ID_ALU_OPERAND_TO_ICACHE_PLRU
2.5,400.0,PASS,0.000154495,0,0,79966.53,105603,264511.311248,DIV_CONTROL_TO_ID_ALU_OPERAND
2.0,500.0,PASS,0.000188589,0,0,80394.104,106605,264938.885248,CSR_CYCLE_COUNTER
1.5,666.666666667,PASS,0.00000393391,0,0,80832.458,107387,265377.239248,CLINT_MTIME_TO_ICACHE_PLRU
1.35,740.740740741,PASS,0.0000474453,0,0,82725.23,110885,267270.011248,DIV_RESULT_TO_ID_ALU_OPERAND
1.30,769.230769231,FAIL,-0.00990212,-1.13592207,149,83616.638,110743,268161.419248,ID_ALU_OP_TO_ICACHE_PLRU
1.25,800.0,FAIL,-0.0311123,-4.8994511468,248,84263.34,111798,268808.121248,ID_ALU_OPERAND_TO_DIV
1.0,1000.0,FAIL,-0.290456,-150.35733491,1158,86350.348,117413,270895.129248,ID_ALU_TYPE_TO_ICACHE_PLRU
