workload,capacity_kib,misses,writebacks,decision
FIB,4,0,0,STOP_CACHE_DSE
FIB,8,0,0,STOP_CACHE_DSE
FIB,16,0,0,STOP_CACHE_DSE
FIB,32,0,0,STOP_CACHE_DSE
Bubble,4,3,NA,STOP_CACHE_DSE
Bubble,8,3,NA,STOP_CACHE_DSE
Bubble,16,3,NA,STOP_CACHE_DSE
Bubble,32,3,NA,STOP_CACHE_DSE
GOL128,4,1016,NA,STOP_CACHE_DSE
GOL128,8,1016,NA,STOP_CACHE_DSE
GOL128,16,884,NA,STOP_CACHE_DSE
GOL128,32,0,NA,STOP_CACHE_DSE
GOL256,4,4080,4080,STOP_CACHE_DSE
GOL256,8,4080,4080,STOP_CACHE_DSE
GOL256,16,4080,4080,STOP_CACHE_DSE
GOL256,32,4080,4080,STOP_CACHE_DSE
